username,retweet_count,reply_count,like_count,quote_count,url,text,created_at,id,conversation_id
chronicleherald,0,0,1,1,https://www.saltwire.com/atlantic-canada/weather/atlantic-regional-weather-forecast-july-13-2022-100629371/,"Your national weather forecast in Canada for July 13, 2022
https://t.co/WenlkfqUZR https://t.co/wQr5Tgz3Cu",2022-07-13T16:06:49.000Z,1547251211266555908,1547251211266555908
chronicleherald,1,0,0,0,https://www.saltwire.com/atlantic-canada/weather/atlantic-regional-weather-forecast-july-13-2022-100629371/,"Your short-term weather forecast in Nova Scotia for July 13, 2022
https://t.co/WenlkfqUZR https://t.co/D7S5FQx0d0",2022-07-13T15:22:53.000Z,1547240153877561346,1547240153877561346
chronicleherald,0,0,3,0,https://www.saltwire.com/halifax/news/two-halifax-based-royal-canadian-navy-vessels-returning-from-nato-mission-in-europe-100752905/?utm_medium=Social&utm_source=Twitter#Echobox=1657723024-1,Two Royal Canadian Navy warships deployed in European waters as part of NATO's response to Russia's war on Ukraine are returning to their home port in Halifax on Friday. https://t.co/Q7jzXkfhpY,2022-07-13T14:41:22.000Z,1547229706273128450,1547229706273128450
chronicleherald,0,0,0,0,https://www.saltwire.com/halifax/business/bank-of-canada-surprises-with-100-bp-rate-hike-as-inflation-risks-gather-steam-100752899/?utm_medium=Social&utm_source=Twitter#Echobox=1657722345,The super-sized move was last seen in 1998. https://t.co/wJfZ0gKKra,2022-07-13T14:25:46.000Z,1547225779934822401,1547225779934822401
chronicleherald,0,0,1,0,https://www.saltwire.com/atlantic-canada/weather/atlantic-regional-weather-forecast-july-13-2022-100629371/?utm_medium=Social&utm_source=Twitter#Echobox=1657715158-11,A warm and humid Wednesday is on the way for much of Atlantic Canada.  https://t.co/pMMofKg68S https://t.co/fC7bXgrqGB,2022-07-13T13:44:37.000Z,1547215422767960065,1547215422767960065
chronicleherald,0,0,0,0,https://www.saltwire.com/halifax/news/two-dead-after-separate-western-nova-scotia-crashes-100752682/?utm_medium=Social&utm_source=Twitter#Echobox=1657718624,UPDATED: Two dead after separate western Nova Scotia crashes | SaltWire https://t.co/BN94XuAfWZ,2022-07-13T13:34:50.000Z,1547212961906827264,1547212961906827264
chronicleherald,1,2,1,0,https://www.saltwire.com/atlantic-canada/news/thinking-out-loud-with-sheldon-macleod-zach-churchill-takes-the-helm-100752647/,"Over the weekend, Yarmouth MLA Zach Churchill was chosen to be the new leader of the Nova Scotia Liberal Party. And while he was quick to congratulate the other candidate, he's coming out swinging against the Tim Houston Progressive Conservatives. https://t.co/JkEF0pbtp9 https://t.co/7T3y1FTlE7",2022-07-13T13:27:22.000Z,1547211082560839680,1547211082560839680
chronicleherald,0,0,0,0,https://www.saltwire.com/halifax/business/halifax-real-estate-market-more-healthy-100752810/?utm_medium=Social&utm_source=Twitter#Echobox=1657710553-1,The price of a house in Halifax continues to rise despite an increase in inventory and a reduction in the number of people from other regions buying homes here.   https://t.co/u2hoFzWxRc https://t.co/UySZArDqro,2022-07-13T12:55:37.000Z,1547203093313585152,1547203093313585152
chronicleherald,4,0,7,0,https://www.saltwire.com/halifax/news/virtual-care-numbers-get-rough-ride-at-ns-health-committee-100752680/?utm_medium=Social&utm_source=Twitter#Echobox=1657712025-1,Four Nova Scotia Health Authority representatives appearing in front of the province's standing committee on health to tout their new Innovation Hub on Tuesday quickly found themselves in the hot seat over access to virtual care.  https://t.co/veoUIumpnp,2022-07-13T12:37:45.000Z,1547198596667383808,1547198596667383808
chronicleherald,0,0,0,1,https://www.saltwire.com/halifax/news/mass-killers-former-colleague-recounts-witnessing-vicious-assault-at-denture-clinic-100752824/?utm_medium=Social&utm_source=Twitter#Echobox=1657714446-1,"It was snapshot of Gabriel Wortman that she would never forget - a former colleague watched as Wortman beat a man who was sitting, smoking on the window ledge of his Dartmouth denture clinic.
 https://t.co/jYm8iG7Md6",2022-07-13T12:20:48.000Z,1547194330749755393,1547194330749755393
capebretonpost,0,0,0,0,https://www.saltwire.com/atlantic-canada/weather/atlantic-regional-weather-forecast-july-13-2022-100629371/,"Your short-term weather forecast in Nova Scotia for July 13, 2022
https://t.co/MLm1me5fT8 https://t.co/nyVUkBD3YZ",2022-07-13T15:54:50.000Z,1547248195373236231,1547248195373236231
capebretonpost,0,1,0,0,https://www.saltwire.com/cape-breton/news/mass-killers-former-colleague-recounts-witnessing-vicious-assault-at-denture-clinic-100752824/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1657720876,Mass killer’s former colleague recounts witnessing vicious assault at denture clinic | SaltWire https://t.co/p7qFq79mdO,2022-07-13T15:10:58.000Z,1547237152978862081,1547237152978862081
capebretonpost,0,0,0,0,https://www.saltwire.com/cape-breton/news/remove-dfo-from-first-nations-fisheries-negotiations-says-senate-report-100752659/?utm_medium=Social&utm_source=Twitter#Echobox=1657722358-1,"In a report released on July 12, the Senate standing committee on fisheries and oceans called for the federal government to transfer responsibility for negotiating moderate livelihood agreements to the Department of Crown-Indigenous Relations and Northe... https://t.co/xuCZlxN99n",2022-07-13T14:31:26.000Z,1547227207017308160,1547227207017308160
capebretonpost,0,0,0,0,https://www.saltwire.com/atlantic-canada/weather/atlantic-regional-weather-forecast-july-13-2022-100629371/?utm_medium=Social&utm_source=Twitter#Echobox=1657715158-14,A warm and humid Wednesday is on the way for much of Atlantic Canada.  https://t.co/Q5jXg3Of3l https://t.co/YQplpn0UVI,2022-07-13T14:01:56.000Z,1547219779735388161,1547219779735388161
